,Unnamed: 0,F99,F19,G23
0,sn2006hb,,,
1,sn2006hb,,,
2,sn2008fl,,,
3,sn2007jg,,,
4,sn2008R,,,
5,sn2009ad,,,
6,sn2006ob,,,
7,sn2009ds,,,
8,sn2007hx,,,
9,sn2007bd,,,
10,sn2004ey,,,
11,sn2007so,,,
12,sn2009ab,,,
13,sn2007A,,,
14,sn2008gl,,,
15,sn2007nq,,,
16,sn2007on,,,
17,sn2008hj,,,
18,sn2007st,,,
19,sn2009le,,,
20,sn2005hc,,,
21,sn2005bo,,,
22,sn2008fu,,,
23,sn2004gs,,,
24,sn2008ff,,,
25,sn2006D,,,
26,sn2005M,,,
27,sn2007S,,,
28,sn2006bh,,,
29,sn2009al,,,
30,sn2008O,632.2659317942059,669.6669752977484,636.0858416833461
31,sn2006lu,1836.3708604709657,1870.3992835338267,1846.0459084347683
32,sn2007bm,15074.254284544186,16065.153398786924,16123.146597587607
33,sn2007sr,138186.14395533802,140668.35084328556,138511.0481975247
34,sn2008bz,2337.8439542978517,2306.8971161037625,2324.0060911376263
35,sn2005A,,,
36,sn2004ef,,,
37,sn2006ax,,,
38,sn2005ku,,,
39,sn2008gg,,,
40,sn2007ca,,,
41,sn2005lu,,,
42,sn2006gj,,,
43,sn2008ar,,,
44,sn2006et,,,
45,sn2007ai,,,
46,sn2009I,,,
47,sn2006kf,,,
48,sn2008hu,,,
49,sn2008cc,,,
50,sn2009aa,,,
51,sn2006os,,,
52,sn2008hv,,,
53,sn2008go,,,
54,sn2006br,,,
55,sn2005eq,,,
56,sn2008fp,,,
57,sn2008C,,,
58,sn2006X,,,
59,sn2007jd,,,
60,sn2005kc,,,
61,sn2006ej,,,
62,sn2005al,,,
63,sn2005am,,,
64,sn2006hx,,,
65,sn2008cf,,,
66,sn2009ag,,,
67,sn2008fw,,,
68,sn2007af,,,
69,sn2006is,,,
70,sn2004eo,,,
71,sn2008bf,,,
72,sn2008fr,,,
73,sn2008gp,,,
74,sn2009cz,,,
75,sn2007le,,,
76,sn2009P,,,
77,sn2009D,,,
78,sn2008ia,,,
79,sn2008bc,,,
80,sn2005na,,,
81,sn2009Y,,,
82,sn2007ux,,,
83,sn2007as,,,
84,sn2007hj,,,
85,sn2005ki,,,
86,sn2007bc,,,
87,sn2005iq,,,
88,sn2008bq,,,
sn2008O,,632.2659317942059,669.6669752977484,636.0858416833461
sn2006lu,,1836.3708604709657,1870.3992835338267,1846.0459084347683
sn2007bm,,15074.254284544186,16065.153398786924,16123.146597587607
sn2007sr,,138186.14395533802,140668.35084328556,138511.0481975247
sn2008bz,,2337.8439542978513,2306.8971161037625,2324.0060911376263
